"id","user_id","article_id","created_at"
f2d39235-dc3f-45f6-aa28-e9a5b743a2c9,"2",1,2025-05-07 10:15:55.885
"80aa4790-8a72-4498-bb39-d8fd3f590b02","2",2,2025-05-07 10:15:55.885
"24b8ace1-1dd1-4d4c-a507-ce6fbe1cfefa","2",3,2025-05-07 10:15:55.885
"8b588322-5b48-4546-8afe-61344e1f9bff","2",4,2025-05-07 10:15:55.885
"8b12918c-099d-4f33-a9bb-8dec217e1779","2",5,2025-05-07 10:15:55.885
"3fef11e5-19e6-4cef-a386-2a2d589149e7","2",6,2025-05-07 10:15:55.885
"8a1eb45f-9304-4a56-b43d-b9cbf37b9f43","2",7,2025-05-07 10:15:55.885
"4824f99b-822a-424d-b301-8a19836a6ee2","2",8,2025-05-07 10:15:55.885
eaea5fc3-2a86-407c-9ec3-00d9e11e9f4e,"2",9,2025-05-07 10:15:55.885
"8cc3d7c3-e36a-4c3b-beaf-01766f54a7b7","2",10,2025-05-07 10:15:55.886
c9bba313-195f-43b2-98c5-a282b8bb6559,"2",11,2025-05-07 10:15:55.886
d60cd60f-d733-436c-a12c-306528c5dc5f,"2",12,2025-05-07 10:15:55.886
"413d3470-4add-46e3-8c8b-f4d3a7d41742","2",13,2025-05-07 10:15:55.886
f5593686-e61b-4f4c-92c0-088b56d1f357,"2",14,2025-05-07 10:15:55.886
fb402fb4-830e-47fd-90f0-821d80ed1ca1,"2",15,2025-05-07 10:15:55.886
"238dad30-b873-4cf8-bd02-3a160f030d72","2",16,2025-05-07 10:15:55.886
"3f616ea4-f2cd-4532-a9f6-3dd78292479d","2",17,2025-05-07 10:15:55.886
f2fc5b6a-016c-431f-91fd-406f2b2755fc,"2",18,2025-05-07 10:15:55.886
"0d6288e7-e737-41a0-b76c-bdd7f65e7f7e","2",19,2025-05-07 10:15:55.886
dcdac59c-9a3c-4c4d-8587-860d5b0e8764,"2",20,2025-05-07 10:15:55.886
"996248b9-ebed-41b8-bfcd-56fd52b3f7ce","2",21,2025-05-07 10:15:55.886
f24c71de-6d65-42b9-a660-7c63e63ab670,"2",22,2025-05-07 10:15:55.886
"49d36892-0f76-4dfc-aa20-82e7232248ec","2",23,2025-05-07 10:15:55.886
"675574cf-0eb9-4c0e-ada3-15f4a892aa3b","2",24,2025-05-07 10:15:55.886
b508cbfe-c723-402d-8003-b2b327b508a1,"2",25,2025-05-07 10:15:55.886
"6daf688b-8ac9-47a4-b8f1-2c098a20b908","2",26,2025-05-07 10:15:55.886
"566474f7-2998-47a3-9eae-7e3e3a7775ec","2",27,2025-05-07 10:15:55.887
"3e2eb818-fd68-406b-b515-79110b3506e2","2",28,2025-05-07 10:15:55.887
cc96435d-3e60-4bd8-ad96-ceca44245346,"2",29,2025-05-07 10:15:55.887
"0c138f20-07ce-4bfa-afcb-f3d23819608e","2",30,2025-05-07 10:15:55.887
"5e10ec7a-9fb0-4ce1-85f5-f1bdf690626d","2",31,2025-05-07 10:15:55.887
e6b64a98-0547-4794-b455-59d0cd3dca8b,"2",32,2025-05-07 10:15:55.887
"3a3c885f-288c-412f-ab5f-0bf7afe97b9b","2",33,2025-05-07 10:15:55.887
"45a686dd-34c1-4850-b9e9-7e0f0dd3730e","2",34,2025-05-07 10:15:55.887
f23fddf0-2cd2-430a-90d1-6875977c88fa,"2",35,2025-05-07 10:15:55.887
"7ff07c61-caba-469a-88a1-51b26ca1503a","2",36,2025-05-07 10:15:55.887
"546b005f-7c8c-472a-8e11-9a1b8cc55a42","2",37,2025-05-07 10:15:55.887
"7cdaf075-2a4c-47ec-bf1f-e6113d19aade","2",38,2025-05-07 10:15:55.887
"3e57077f-e73d-4738-ab97-abeaccee7f08","2",39,2025-05-07 10:15:55.887
